en,cn,ar,pos,,
I'm a vegetarian.,我吃素的。,أنا نباتي.,sent,,
I'm afraid all our tables are taken.,恐怕我们所有的桌子都被占用着。,أنا أخشى بأن كل طاولاتنا غير متوفرة,sent,,
I'm afraid I'll miss my connecting flight.,我会赶不上我下一段的班机了。,أنا أخشى أنني سأفوّف رحلتي الرابطة/المتصلة,sent,,
I'm afraid it's overweight.,恐怕超重了。,أنا أخشى أن وزنها زائد,sent,,
I'm afraid our hotel is fully booked on that night.,本店那晚恐怕已经登记满了。,أنا أخشى أن فندقنا محجوز بالكامل في تلك الليلة,sent,,
I'm afraid that area is under preparation.,恐怕那一区还在准备中。,أنا أخشى أن تلك المنطقة قيد التحضير,sent,,
I'm afraid that table is reserved for * p.m.,恐怕那张桌子晚上*点以后被预定了。,أنا أخشى أن تلك الطاولة محجوزة للساعة * مساءً,vp,,
I'm afraid there is a mistake.,恐怕出错了吧。,أنا أخشى أن هناك خطأ,sent,,
I'm afraid We don't have it in stock.,恐怕已经没有存货了。,أنا أخشى أننا لا نملكه في المخزون,sent,,
I'm afraid we have no cocktails now.,现在恐怕没有鸡尾酒了。,أنا أخشى أننا لا نملك أي كوكتيلات الآن,sent,,
I'm afraid we have no more time to wait.,我想我们没时间再等了。,أنا أخشى أننا لا نملك أي وقت متبقى للانتظار,sent,,
I'm afraid we're out of that item.,恐怕那种货已经卖完了。,أنا أخشى أن هذا قد انقضى من مخزوننا,sent,,
I'm feeling kind of airsick.,我觉得晕机了。,أنا أشعر بداور الجو قليلاً,sent,,
"I'm fine, thank you.","很好, 谢谢。", أنا بخير، شكراً.,sent,,
I'm finished.,我完成了。,لقد انتهيت.,sent,,
I'm going to have one waitress to serve you.,我去安排一个服务员过来。,سوف أجعل نادل يخدمك,sent,,
I'm in a hurry.,我要赶时间。,أنا في عجلة من أمري,sent,,
I'm looking for *.,我在找*,أبحث عن *.,vp,,
I'm lost.,我迷路了。,أنا تائه.,sent,,
I'm not feeling well.,我不舒服,أنا لا أشعر على ما يرام.,sent,,
I'm not happy about the dish.,我对这菜不满意。,أنا لست سعيداً حيال هذا الطبق,sent,,
I'm not hungry.,我不饿。,أنا لست جائع,sent,,
I'm not interested.,我没有兴趣。,أنا لست مهتم.,sent,,
I'm not sure.,我不确定。,أنا لست متأكداً,sent,,
I'm not sure. Maybe.,我不确定，也许。,أنا لست متأكد. ربما.,sent,,
I'm not very happy with the quality of the food here.,我对这里的饭菜质量非常的不满意。,أنا لست سعيداًً جداً حيال جودة الطعام هنا.,sent,,
I'm sick.,我生病了。,انا مريض.,sent,,
I'm sorry to say that I have to cancel it.,我很抱歉，我不得不取消这个预定。,أنا آسف اضطررت أن ألغيه,sent,,
"I'm sorry, but there are no window seats available.",很抱谦，没有靠窗的座位了。,أنا آسف لكن لا يوجد أي مقاعد قرب النافذة متوفرة,sent,,
I'm sorry.,对不起。,أنا آسف.,sent,,
I'm very sorry for the mistake.,很抱歉搞错了。,أنا آسف جداً على هذا الخطأ,sent,,
I'm very sorry to have kept you waiting.,很抱歉让您一直等着。,أنا آسف جداًً لإبقائك منتظراً,sent,,
"I'm very sorry, Sir, but we are unable to do that. We would appreciate it very much if you could call us instead.",先生，非常抱歉，我们不能那样做，如果您能打电话来，我们将会非常感激。,أنا آسف جدا سيدي لكننا لسنا قابلين على فعل ذلك. سنكون مقدرين إذا أمكنك الاتصال بنا بدل ذلك.,sent,,
I'm waiting for my luggage.,我在等我的行李。,أنا أنتظر أمتعتي,sent,,
I'm with *.,我现在跟*在一起,أنا مع *.,vp,,
I've been injured.,我受伤了。,لقد أُصِبتُ.,sent,,
I've been waiting for a long time but nobody came to serve me.,我们已经等了很长时间了，但没人来为我们服务。,لقد انقضى وقت طويل لكن لم يأت أحد لخدمتي,sent,,
I've been waiting half an hour for my order.,从我点餐到现在等了半个小时了。,إنني منتظر لنصف ساعة لطلبي,sent,,
I've checked with the kitchen.,我已经与厨房检查过了。,لقد تأكدت مع المطبخ,sent,,
I've lost *.,我的*不见了,لقد فقدت *.,vp,,
I've made a reservation at your restaurant.,我已经在你们餐厅预订过了。,لقد قمت بحجز لدى مطعمك,sent,,
ice tongs,冰夹,ملقط الثلج,np,,
iced banana americano,香蕉冰美式,أميريكانو موز مثلج,np,,
iced blackberry latte,黑莓冰咖啡拿铁,لاتيه التوت الأسود مثلج,np,,
iced cafe americano,冰美式咖啡,قهوة أميريكانو مثلجة,np,,
iced cafe latte,冰拿铁咖啡,قهوة أميريكانو مثلجة,np,,
iced cappuccino,冰卡布奇诺,كابوتشينو مثلج,np,,
iced caramel cappuccino,冰焦糖卡布奇诺,كابوتشينو كاراميل مثلج,np,,
iced caramel latte,冰焦糖咖啡拿铁,لاتيه كاراميل مثلج,np,,
iced cherry latte,樱桃冰咖啡拿铁,لاتيه كرز مثلج,np,,
iced chocolate coffee,巧克力冰咖啡,قهوة الشكولاته مثلجة,np,,
iced coconut latte,椰子冰咖啡拿铁,لاتيه حوز الهند مثلج,np,,
iced coffee,冰咖啡,قهوة مثلجة,np,,
iced espresso,浓缩冰咖啡,إسبريسو مثلج,np,,
iced fruit cappuccino,果味冰卡布奇诺,كابوتشينو الفواكه مثلج,np,,
iced fruit latte,冰果味咖啡拿铁,لاتيه الفواكه مثلج,np,,
iced hazelnut cappuccino,冰榛子卡布奇诺, كابوتشينو بندق مثلج,np,,
iced hazelnut latte,冰榛子咖啡拿铁,لاتيه بندق مثلج,np,,
iced vanilla cappuccino,冰香草卡布奇诺,كابوتشينو فانيليا مثلج,np,,
iced vanilla latte,冰香草咖啡拿铁,لاتيه فانيليا مثلج,np,,
Iceland,冰岛,آيسلندا,np,,
id card,身份证,بطاقة التعريف بالهوية الشخصية,np,,
"If you can't come back within a month, we won't keep it for you.",如果一个月之内，您不来领的话，我们将不再替您保存。,إذا لا يمكنك العودة بغضون شهر، لا يمكننا إبقاؤها لك.,sent,,
"If you don't like the taste of it, perhaps I could get you something else?",如果您不喜欢这口味，或许我给你换成其他的?,إذا لايعجبك طعمه، يمكنني إحضارك شيئاً آخر,sent,,
"If You Forget To Pack Any Standard Toiletry Item（Toothbrush, Toothpaste, Shaving Cream, Razor Or Comb）, Just Call The Front Desk And We'll Get You A Complimentary Repacement Right Away.",如果您忘了把洗漱物品打入您的包裹（如牙刷，牙膏，剃须膏，剃须刀或梳子），请给前台电话，我们可以立即提供赠送替代品。,إذا نسيت إحضار أي من أدوات العناية الشخصية الأساسية (فرشاة أسنان، معجون أسنان، كريم حلاقة، شفرة حلاقة، أو مشط). فقط اتصل على المكتب الرئيسي وسنحضر لك بديل مجاني في الحال.,sent,,
ilyusin,依柳辛,اليوسن,np,,
in,英寸, في,np,,
In aisle *.,在第*通道。,في المرر *.,vp,,
In whose name was the reservation?,用谁的名字预订的?,باسم من كان الحجز؟,sent,,
In-Flight.,飞行中。,على متن الطائرة,sent,,
in-job training,在职培训,تدريب أثناء العمل,np,,
In-Room Coffee Maker.,室内咖啡机。,صانع القهوة داخل الغرفة,sent,,
Including breakfast and room service.,包括早餐和服务费。,شامل وجبة الإفطار وخدمة الغرف,sent,,
India,印度,الهند,np,,
Indonesia,印度尼西亚,إندونيسيا,np,,
Indoor Swimming Pools.,室内泳池。,حوض سباحة داخلي,sent,,
industrious,勤奋的,مجد,np,,
Information,问询处/咨询台,معلومات,sent,,
information,问讯处,معلومات,np,,
ingenious,有独创性的,مبتكر,np,,
ingredients,配料,مكونات,np,,
inquiries,问讯处,استفسارات,np,,
Insert Or Swipe Key.,将钥匙卡插入或擦过处理机。,أدخل أو مرر المفتاح,sent,,
inspection,检查,تفتيش,np,,
instant coffee,速溶咖啡,قهوة فورية,np,,
intern,实习生,متدرب,np,,
international airport,国际机场,مطار دولي,np,,
international departure,国际航班出港,إقلاع دولي,np,,
international flight,国际班机,رحلة دولية,np,,
international passenger lobby,国际旅客候机厅,ردهة المسافرين الدوليين,np,,
International Passenger Lobby.,国际旅客候机厅。,ردهة المسافرين الدوليين,sent,,
international passengers,国际航班旅客,المسافرين الدوليين,np,,
international terminal,国际候机楼,المبنى الدولي,np,,
intersection,交界,تقاطع,np,,
Introducing High-Speed Internet Access.,高速上网介绍。,تعريف اتصال بإنترنت عالي السرعة,sent,,
iodized salt,加碘盐,ملح معالج باليود,np,,
Iran,伊朗,إيران,np,,
Iraq,伊拉克,العراق,np,,
Ireland,爱尔兰,أيرلندا,np,,
Is breakfast included?,包含早餐吗？,هل الإفطار مشمول؟,sent,,
Is insurance included?,包含保险吗？,هل هذا شامل التأمين؟,sent,,
Is it a direct flight?,是直飞航班吗?,هل هذه رحلة مباشرة؟,sent,,
Is it free of charge?,续杯是免费的吗?, هل هذا مجاني؟ /هل هذه مجانية؟,sent,,
Is it open on *?,*对外开放吗？,هل هو مفتوح *؟,vp,,
Is it possible for you to change your reservation date?,你可不可以改变预约日期呢?,هل يمكن لك أن تغير تاريخ حجزك؟,sent,,
Is the supermarket open today?,超市今天开门吗?,هل المتجر مفتوح اليوم؟,sent,,
Is there * around here?,附近有没有*,هل هناك * قريب؟,vp,,
Is there * you recommend?,你有推介的*吗？,هل هناك * تنصحني به؟,vp,,
Is there a cafe near by?,请问附近有没有咖啡店？,هل هناك مقهى قريب من هنا؟,sent,,
Is there a group discount?,有没有团体折扣？,هل هناك خصم للمجموعات؟,sent,,
Is there a local specialty?,有没有当地特色？,هل هناك تخصص محلي؟,sent,,
Is there a student discount?,有没有学生优惠？,هل هناك خصم للطلاب؟,sent,,
Is there another flight available?,现在还有别的班机可以坐吗?,هل هناك رحلة أخرى متوفرة؟,sent,,
Is there anything else to do before flight time?,在起飞前还有其他手续要办吗?,هل هناك شي آخر لأفعله قبل موعد الرحلة؟,sent,,
Is there anywhere I can leave luggage?,有没有地方让我放行李？,هل هناك مكان أترك فيه أغراضي؟,sent,,
Is there someone here who speaks English?,这里有人会说英语吗？,هل هناك أحد يتحدث الانجليزية؟,sent,,
Is there table service?,有没有餐桌服务？,هل هناك خدمة طاولات؟,sent,,
Is this seat *?,这个座位是*吗?,هل هذا المقعد *؟,vp,,
Is this seat free?,这里有人坐吗？,هل هذا المقعد خالى؟,sent,,
Is this table all right?,这张桌子可以吗?,هل هذه الطاولة مناسبة لك؟,sent,,
Is this the right counter to check in at?,是在这儿检票吗?,هل هذا الشباك الصحيح لتسجيل الدخول؟,sent,,
Islamabad,伊斯兰堡,اسلام اباد,np,,
Israel,以色列,إسرائيل,np,,
Istanbul,伊斯坦布尔,اسطنبول,np,,
It doesn't matter. This one will do.,没关系，那就这张吧。,لا يهم. هذا جيد.,sent,,
It hurts here.,这里很痛,يؤلمني هنا,sent,,
It is a prohibited item.,这是违禁品。,هذا شيء محظور,sent,,
It is at the entrance.,就在入口处。,إنه عند المدخل,sent,,
It is nine in the morning.,现在是早上9点钟。,إنها التاسعة صباحاً,sent,,
It is very hard to find a seat in this restaurant in the evening.,晚上在这家餐厅很难找到座位。,إنه صعب جداً إيجاد مقعد في هذا المطعم هذا المساء,sent,,
It seems that the seafood has gone bad.,海鲜好像坏了。,يبدو لي أن هذا الأكل البحري قد فسد,sent,,
It was a misunderstanding.,这是误会。,كان سوء تفاهم,sent,,
